---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
38778,107,"12 -6  1","U 7175",154.04,74.83,8,1168,1199,31.19,0.00,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.50,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38788,761,"42  0 12",1208+641,130.24,52.64,5,2670,2780,32.77,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.53,-2.92,126.89,52.54,-2.03,2727,2842,2884,2836,31.96,0.15,2,33.19,0.30,2.1,1,33.28,0.41,1,31.40,0.17
38793,428,"22 11 11","U 7178",280.17,63.08,10,1339,1243,30.98,0.00,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.34,279.35,63.18,-2.01,1310,1214,1160,1664,31.02,0.27,2,31.02,0.27,2.6,0,0.00,0.00,0,0.00,0.00
38795,102,"12 -1  1","N 4157",138.46,65.41,3,771,839,31.26,0.00,0.021,0.02,0.19,2,12.12,10.64,2,9.88,1,8.39,2,841,425,3,2,31.23,0.11,3.0,30.61,11.00,-2.17,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38800,1,"11 -1  1",I3032,264.75,74.08,-2,1093,1036,31.25,30.89,0.038,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.67,-3.64,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38802,175,"13-11 11","N 4158",247.83,78.45,3,2536,2499,32.84,0.00,0.032,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.54,248.67,78.27,-2.45,2519,2481,2453,2837,32.32,0.41,0,0.00,0.00,0.0,1,32.32,0.41,0,0.00,0.00
38803,1,"11 -1  1","U 7181",266.16,73.51,8,264,205,31.25,0.00,0.031,0.03,0.34,1,15.15,13.89,1,13.38,1,0.001,0.001,205,140,6,3,31.31,0.27,2.5,0.001,14.66,-3.64,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38837,176,"13 12 11",1209+16,260.00,75.92,0.001,2472,2423,32.77,0.00,0.041,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.80,-3.03,262.57,75.20,-2.19,2251,2199,2164,2581,32.71,0.30,2,32.71,0.30,2.1,0,0.00,0.00,0,0.00,0.00
38841,459,"23  0  5",1209-381,294.46,23.67,0,3122,2935,32.90,0.00,0.082,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.24,-2.77,294.90,23.99,-2.36,3158,2972,2882,3463,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
38851,198,"13  0  0","N 4162",229.36,80.58,4,2491,2468,32.84,0.00,0.036,0.001,0.64,1,0.001,0.001,0.001,11.23,1,0.001,0.001,2546,334,1,3,32.98,0.00,1.0,0.001,11.99,-2.29,229.36,80.58,-2.27,2491,2468,2446,2796,33.14,0.24,2,33.00,0.30,2.0,1,33.40,0.41,0,0.00,0.00
38881,214,"14 +7  7","N 4163",163.21,77.69,10,170,189,28.72,27.33,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.00,-3.01,157.70,74.33,-1.86,236,264,267,483,27.24,0.13,0,0.00,0.00,0.0,0,0.00,0.00,6,27.24,0.13
38890,177,"13 12 11","N 4168",267.66,73.33,-5,2428,2368,31.25,32.45,0.036,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.20,-2.40,268.70,73.07,-2.04,2376,2315,2276,2711,32.56,0.15,3,32.81,0.23,3.8,0,0.00,0.00,1,32.45,0.17
38897,200,"14 -1  1","N 4173",197.21,81.14,7,1127,1122,31.27,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.40,-2.76,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
38905,107,"12 -6  1","U 7207",160.37,77.11,10,1055,1077,31.19,0.00,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-3.08,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
38916,177,"13 12 11","U 7209",269.76,72.44,4,2235,2172,32.77,0.00,0.033,0.03,0.67,1,13.53,12.42,1,11.88,1,0.001,0.001,2149,261,1,3,32.85,0.02,2.5,0.001,13.10,-2.75,268.70,73.07,-2.04,2376,2315,2276,2711,32.56,0.15,3,32.81,0.23,3.8,0,0.00,0.00,1,32.45,0.17
38943,1,"11 -1  1","N 4178",271.84,71.37,8,381,314,31.25,0.00,0.028,0.00,0.29,1,12.08,11.06,1,10.59,1,10.16,2,309,280,1,2,30.73,0.27,3.0,0.001,11.36,-2.32,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38945,1,"11 -1  1","U 7216",266.59,74.06,6,-183,-240,31.25,0.00,0.037,0.09,0.36,1,14.44,13.51,1,13.15,1,0.001,0.001,-239,154,1,3,31.24,0.01,2.5,0.001,13.66,-3.23,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
38950,428,"22 11 11","N 4179",281.61,62.57,-2,1279,1181,30.98,0.00,0.034,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.78,-2.46,279.35,63.18,-2.01,1310,1214,1160,1664,31.02,0.27,2,31.02,0.27,2.6,0,0.00,0.00,0,0.00,0.00
38951,102,"12 -1  1","U 7218",136.37,63.84,10,791,865,31.26,0.00,0.025,0.02,0.53,1,14.88,13.99,1,13.56,1,0.001,0.001,846,112,6,3,30.88,0.11,2.5,0.001,14.40,-3.53,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
38952,409,"22 -1  1",1210-20,290.86,41.56,10,1550,1395,31.59,0.00,0.061,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.34,286.62,42.07,-1.33,1685,1527,1449,2039,31.67,0.15,6,31.74,0.19,6.4,0,0.00,0.00,1,31.62,0.17
38964,56,"11-24 24",N4180,276.78,67.94,2,2120,2040,32.38,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.10,-2.86,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
38988,102,"12 -1  1","N 4183",145.40,71.74,6,934,980,31.26,0.00,0.015,0.00,0.15,2,12.96,12.00,2,11.51,1,10.71,2,976,256,3,2,31.01,0.17,3.0,30.63,12.30,-2.69,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
39015,454,"23 -5  5",1211-341,294.14,27.73,0.001,2850,2669,32.70,0.00,0.063,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.58,-2.98,295.74,27.79,-1.89,2710,2532,2444,3024,32.19,0.30,2,32.19,0.30,2.0,0,0.00,0.00,0,0.00,0.00
39023,212,"14 +7  7","N 4190",160.62,77.58,10,234,256,28.72,0.00,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.20,-3.09,157.70,74.33,-1.86,236,264,267,483,27.24,0.13,0,0.00,0.00,0.0,0,0.00,0.00,6,27.24,0.13
39025,1,"11 -1  1","N 4189",268.32,73.72,6,2123,2065,31.25,0.00,0.033,0.03,0.60,1,12.56,11.38,1,10.85,1,0.001,0.001,2054,286,4,3,31.88,0.03,2.5,0.001,12.41,-2.74,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39028,1,"11 -1  1","N 4192",265.42,74.94,2,-142,-196,31.25,0.00,0.035,0.16,0.21,1,11.03,9.61,1,8.96,1,7.80,2,-195,470,1,3,30.67,0.17,3.0,0.001,10.05,-1.80,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39032,240,"14-15 15",E321-14,294.85,24.05,10,611,425,27.70,27.51,0.095,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.78,-3.72,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
39040,177,"13 12 11","N 4193",268.90,73.51,5,2471,2412,32.77,0.00,0.030,0.02,0.48,3,13.23,11.93,2,11.31,2,0.001,0.001,2415,360,1,3,32.83,0.06,2.5,0.001,12.86,-2.66,268.70,73.07,-2.04,2376,2315,2276,2711,32.56,0.15,3,32.81,0.23,3.8,0,0.00,0.00,1,32.45,0.17
39058,219,"14 10 10","U 7242",128.87,50.60,6,68,185,27.77,28.58,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.58,-3.64,127.42,47.35,-1.59,2,128,177,83,28.47,0.16,1,28.22,0.36,1.3,0,0.00,0.00,2,28.51,0.17
39067,12,"11  0  1","U 7239",276.69,68.72,10,1234,1157,31.04,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.80,-3.31,276.69,68.72,-3.31,1234,1157,1111,1578,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39068,755,"42 11 11","N 4194",134.39,61.77,10,2528,2610,32.77,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.95,-2.69,134.39,61.77,-2.69,2528,2610,2637,2697,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39113,1,"11 -1  1","U 7249",270.12,73.29,10,627,567,31.25,0.00,0.034,0.02,0.34,1,15.71,14.84,1,14.52,1,0.001,0.001,564,141,6,3,32.27,0.03,2.5,0.001,14.50,-3.58,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39114,56,"11-24 24","N 4197",278.96,66.95,7,2065,1982,32.38,0.00,0.019,0.00,0.20,1,13.60,12.52,1,12.02,1,0.001,0.001,1982,290,1,3,32.01,0.11,2.5,31.80,12.81,-2.74,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
39125,454,"23 -5  5",1212-35,294.57,26.75,3,2689,2507,32.70,0.00,0.076,0.001,0.54,1,0.001,0.001,0.001,10.61,1,0.001,0.001,2506,285,1,3,31.31,0.00,1.0,0.001,12.64,-2.60,295.74,27.79,-1.89,2710,2532,2444,3024,32.19,0.30,2,32.19,0.30,2.0,0,0.00,0.00,0,0.00,0.00
39143,106,"12  5  1",N4205,129.60,52.87,5,1435,1545,31.59,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.26,13.36,-3.09,132.14,52.70,-1.51,1331,1437,1477,1451,31.83,0.15,0,0.00,0.00,0.0,2,31.60,0.30,2,31.90,0.17
39145,214,"14 +7  7",DDO113,161.10,78.06,10,284,304,28.72,27.27,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.77,-4.12,157.70,74.33,-1.86,236,264,267,483,27.24,0.13,0,0.00,0.00,0.0,0,0.00,0.00,6,27.24,0.13
39150,107,"12 -6  1","U 7257",161.95,78.26,8,948,968,31.19,0.00,0.016,0.001,0.44,1,0.001,13.97,1,0.001,0.001,0.001,0.001,965,112,6,2,30.47,0.00,1.0,0.001,13.90,-3.34,154.08,75.47,-1.76,1009,1039,1042,1255,30.25,0.21,4,30.25,0.21,4.6,0,0.00,0.00,0,0.00,0.00
39152,176,"13 12 11","I 3061",268.20,74.39,5,2316,2260,32.77,0.00,0.037,0.001,0.20,1,0.001,0.001,0.001,12.68,1,0.001,0.001,2260,319,8,2,33.01,0.00,1.0,0.001,13.06,-2.74,262.57,75.20,-2.19,2251,2199,2164,2581,32.71,0.30,2,32.71,0.30,2.1,0,0.00,0.00,0,0.00,0.00
39158,200,"14 -1  1","N 4203",172.97,80.08,-3,1088,1098,31.27,30.90,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.55,-2.42,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
39173,1,"11 -1  1",I3065,267.50,74.75,0,1072,1018,31.25,31.07,0.037,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.49,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39179,259,"14  0  0","N 4204",249.06,79.50,8,861,828,30.08,0.00,0.033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.70,-2.89,249.06,79.50,-2.89,861,828,801,1176,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39183,1,"11 -1  1","N 4206",270.18,73.55,4,701,642,31.25,0.00,0.031,0.02,0.20,1,12.89,11.71,1,11.24,1,10.35,1,643,299,3,3,31.34,0.13,3.0,0.001,12.08,-2.61,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39188,56,"11-24 24",1212+06,279.44,66.97,-5,1960,1877,32.38,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.00,-3.62,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
39191,209,"14 -4  4","U 7267",136.22,64.82,8,473,545,30.67,0.00,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.00,-3.40,138.31,70.58,-0.94,500,556,569,713,29.82,0.13,6,30.53,0.18,7.1,2,29.53,0.30,3,29.46,0.16
39201,459,"23  0  5",1212-37,295.18,24.19,6,3180,2995,32.90,0.00,0.097,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.75,-2.57,294.90,23.99,-2.36,3158,2972,2882,3463,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39206,1,"11 -1  1","N 4207",275.44,70.51,6,594,524,31.25,0.00,0.017,0.00,0.47,1,13.64,12.18,1,11.61,1,0.001,0.001,527,225,1,3,31.50,0.28,2.5,0.001,13.36,-3.12,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39211,209,"14 -4  4","U 7271",144.66,72.16,7,546,592,30.67,0.00,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.90,-3.36,138.31,70.58,-0.94,500,556,569,713,29.82,0.13,6,30.53,0.18,7.1,2,29.53,0.30,3,29.46,0.16
39224,1,"11 -1  1","N 4212",268.88,74.36,4,-82,-138,31.25,0.00,0.033,0.14,0.73,1,11.88,10.54,1,10.12,1,9.32,2,-138,282,1,3,31.72,0.09,3.0,0.001,11.57,-2.40,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39225,214,"14 +7  7","N 4214",160.30,78.07,10,288,309,28.72,27.26,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.14,-1.86,157.70,74.33,-1.86,236,264,267,483,27.24,0.13,0,0.00,0.00,0.0,0,0.00,0.00,6,27.24,0.13
39233,177,"13 12 11","U 7279",274.17,71.54,8,1978,1912,32.77,0.00,0.028,0.00,0.20,1,14.95,14.04,1,13.50,1,0.001,0.001,1912,233,3,2,32.75,0.12,2.5,0.001,14.10,-3.15,268.70,73.07,-2.04,2376,2315,2276,2711,32.56,0.15,3,32.81,0.23,3.8,0,0.00,0.00,1,32.45,0.17
39237,102,"12 -1  1","N 4218",138.86,67.87,1,728,789,31.26,0.00,0.016,0.001,0.60,1,13.69,12.83,1,12.41,1,0.001,0.001,786,156,6,3,31.19,0.05,2.5,0.001,13.20,-3.05,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
39241,102,"12 -1  1","N 4217",139.93,68.85,3,1028,1086,31.26,0.00,0.017,0.00,0.27,2,12.15,10.55,2,9.84,1,8.68,2,1081,421,1,3,31.45,0.15,3.0,31.26,11.30,-2.29,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
39246,1,"11 -1  1","N 4216",270.48,73.75,3,139,81,31.25,0.00,0.032,0.02,0.20,1,10.84,9.27,1,8.66,1,7.36,2,72,537,3,3,30.75,0.18,3.0,0.001,10.17,-1.84,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39251,56,"11-24 24","N 4215",279.19,67.63,-1,2093,2013,32.38,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.10,-2.86,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
39285,102,"12 -1  1","N 4220",138.94,68.13,-1,979,1040,31.26,0.00,0.018,0.00,0.31,1,12.34,10.79,1,10.03,1,0.001,0.001,987,372,6,3,31.37,0.21,2.5,31.71,12.20,-2.65,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
39308,1,"11 -1  1","N 4222",270.53,73.93,7,233,176,31.25,0.00,0.031,0.02,0.18,2,14.04,12.73,1,12.21,2,0.001,0.001,171,243,3,3,31.64,0.08,2.5,0.001,13.27,-3.08,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39315,469,"23  0  0","N 4219",296.21,19.09,4,1993,1802,32.12,0.00,0.131,0.61,0.33,4,12.74,11.12,1,10.49,4,0.001,0.001,1795,383,1,2,31.61,0.07,2.5,0.001,11.10,-2.11,296.37,20.18,-1.96,2040,1851,1760,2331,31.95,0.28,2,31.95,0.28,2.4,0,0.00,0.00,0,0.00,0.00
39316,212,"14 -7  7","U 7298",135.21,64.06,10,171,246,28.72,28.12,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.89,-3.76,138.92,75.96,-1.00,267,309,314,500,28.35,0.11,3,28.53,0.23,3.6,1,29.13,0.41,16,28.28,0.11
39317,416,"22 -3  3",1213-11,289.39,50.40,10,1165,1033,31.19,0.00,0.050,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.66,-3.64,289.55,50.35,-3.38,1216,1084,1014,1571,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39328,56,"11-24 24","N 4224",278.53,68.66,1,2651,2575,32.38,0.00,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.65,-2.68,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
39331,1,"11 -1  1",V0200,271.16,73.71,-4,65,7,31.25,31.30,0.031,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.69,-3.65,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39343,200,"14 -1  1","U 7300",199.20,82.15,10,1215,1210,31.27,0.00,0.025,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-3.24,203.10,83.71,-1.21,987,983,968,1274,31.06,0.12,5,30.94,0.20,5.3,1,31.49,0.41,6,31.04,0.13
39344,102,"12 -1  1","U 7301",140.62,69.84,7,707,762,31.26,0.00,0.011,0.00,0.15,2,15.54,14.57,1,14.07,2,0.001,0.001,763,163,3,3,32.20,0.07,2.5,0.001,14.82,-3.70,145.36,65.47,-0.76,899,957,975,1101,31.17,0.10,42,31.30,0.11,53.4,13,31.24,0.15,9,30.84,0.12
39346,219,"14 10 10","N 4236",127.42,47.35,8,2,128,27.77,28.44,0.015,0.06,0.31,1,10.44,9.61,1,9.36,1,9.09,1,127,198,1,1,28.22,0.25,3.0,0.001,9.47,-1.59,127.42,47.35,-1.59,2,128,177,83,28.47,0.16,1,28.22,0.36,1.3,0,0.00,0.00,2,28.51,0.17
39372,478,"23  0  0",1214-37,295.40,24.90,8,2108,1924,32.30,0.00,0.107,0.35,0.38,2,0.001,0.001,0.001,13.35,2,0.001,0.001,1926,141,1,2,31.02,0.00,1.0,0.001,14.11,-3.29,295.40,24.90,-3.29,2108,1924,1834,2415,31.02,0.41,1,31.02,0.41,1.0,0,0.00,0.00,0,0.00,0.00
39380,1,"11 -1  1","U 7307",276.04,71.06,10,1188,1120,31.25,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.37,-3.12,282.93,74.45,-0.24,1091,1038,999,1417,31.13,0.10,51,31.33,0.11,64.6,2,30.92,0.30,91,31.09,0.10
39384,56,"11-24 24","N 4233",278.74,68.87,-2,2224,2148,32.38,32.65,0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.08,-2.85,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
39388,58,"11 24 24","N 4234",282.19,65.17,9,2075,1987,32.38,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.47,-3.01,282.19,65.17,-3.01,2075,1987,1935,2424,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
39389,56,"11-24 24","N 4235",279.18,68.46,1,2596,2519,32.38,0.00,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.98,-2.41,282.25,67.52,-1.39,2304,2225,2177,2649,32.49,0.13,6,32.83,0.18,7.3,2,32.27,0.30,3,32.36,0.16
