"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
90835,1351,737,0.001,161.79,34.05,160,0.68,0.09,0.68,0.10,16.9,0.25,cd,1,II,1,0.001,8.286000000000000,56.046944444400000
90836,1359,739,0.001,141.66,32.26,154,1.23,0.10,1.27,0.10,16.5,0.12,cd,0,III,0,0.001,8.325277777780000,72.967777777800000
90837,1356,740,0.001,152.59,33.78,108,0.93,0.10,0.93,0.11,16.6,0.19,cd,1,II,1,0.001,8.317805555560000,63.684722222200000
90838,1358,741,0.001,149.02,33.42,32,1.12,0.11,1.01,0.11,16.4,0.14,c,0,II,1,0.001,8.325138888890000,66.679444444400000
90839,1353,742,0.001,229.05,15.88,20,0.67,0.09,0.72,0.10,17.0,0.34,c,0,III,0,0.001,8.295277777780000,-6.476388888890000
90840,1363,743,0.001,154.89,34.40,45,0.83,0.08,0.81,0.09,17.2,0.23,cd,1,IV,2,0.001,8.376944444440000,61.721666666700000
90841,1361,744,0.001,213.71,24.69,15,0.68,0.09,0.67,0.10,16.9,0.12,d,1,II,0,0.001,8.361138888890000,10.334722222200000
90842,1364,745,0.001,178.68,34.37,170,0.85,0.11,0.85,0.13,16.7,0.19,bc,2,III,2,"Companion at 1.7 E",8.395333333330000,42.134166666700000
90843,1371,748,0.001,157.52,34.97,110,0.83,0.11,0.74,0.11,16.7,0.45,c,0,II,1,0.001,8.425861111110000,59.510277777800000
90844,1367,749,0.001,201.87,29.82,179,1.12,0.13,0.99,0.15,16.3,0.19,c,0,II,0,0.001,8.410055555560000,22.021111111100000
90845,1373,750,0.001,155.56,34.85,10,1.04,0.11,1.01,0.12,16.4,0.33,cd,0,II,0,0.001,8.431333333330000,61.125000000000000
90846,1369,751,0.001,190.12,32.90,91,1.34,0.18,1.23,0.21,16.0,0.19,c,0,III,2,0.001,8.417333333330000,32.501944444400000
90847,1374,753,0.001,161.25,35.27,33,1.10,0.11,1.09,0.11,16.5,0.27,c,0,III,0,0.001,8.434666666670000,56.446111111100000
90848,1370,754,0.001,192.71,32.43,143,0.78,0.11,0.85,0.11,16.7,0.18,cd,1,III,1,0.001,8.423333333330000,30.273055555600000
90849,1377,758,0.001,161.66,35.69,49,0.85,0.09,0.81,0.10,16.7,0.20,d,1,II,0,0.001,8.483055555560000,56.093611111100000
90850,1376,759,0.001,223.42,22.11,3,0.82,0.10,0.69,0.11,16.8,0.17,cd,0,II,1,0.001,8.479333333330000,1.234722222220000
90851,1384,760,0.001,161.95,35.98,130,0.83,0.08,0.73,0.08,17.1,0.19,d,0,III,1,0.001,8.515472222220000,55.835555555600000
90852,1380,761,0.001,242.26,11.08,23,0.78,0.10,0.67,0.10,17.0,0.44,m,2,IV,0,0.001,8.492000000000000,-19.888055555600000
90853,1389,764,0.001,156.65,35.78,30,0.92,0.10,0.84,0.11,16.9,0.30,cd,2,IV,0,0.001,8.543055555560000,60.130833333300000
90854,1387,765,0.001,205.22,30.60,150,1.02,0.10,0.94,0.09,16.7,0.14,cd,0,III,3,"Blue companion at 1.0 S",8.533388888890000,19.566388888900000
90855,1390,766,0.001,176.18,36.21,10,0.87,0.10,0.75,0.11,16.9,0.11,c,1,III,0,0.001,8.544000000000000,44.346944444400000
90856,1388,767,0.001,221.73,23.99,178,0.65,0.09,0.54,0.10,17.2,0.11,dm,1,III,0,0.001,8.539527777780000,3.499166666670000
90857,1396,768,0.001,162.94,36.67,112,0.81,0.10,0.67,0.10,16.8,0.19,cd,0,II,0,"Red star projected",8.590194444440000,54.992500000000000
90858,1397,769,0.001,158.07,36.32,116,0.76,0.09,0.80,0.10,16.8,0.29,d,0,II,0,"Star projected",8.593944444440000,58.921944444400000
90859,1395,770,0.001,231.39,19.33,139,1.06,0.11,0.88,0.12,16.5,0.13,cd,0,II,0,0.001,8.570666666670000,-6.604444444440000
90860,1398,771,0.001,194.60,34.43,157,0.76,0.10,0.83,0.11,16.8,0.18,c,1,III,0,0.001,8.602194444440000,29.256388888900000
90861,1405,774,0.001,174.34,37.28,105,0.87,0.10,1.01,0.11,16.5,0.12,cd,0,II,0,0.001,8.636666666670000,45.881944444400000
90862,1404,775,0.001,229.88,21.27,50,0.99,0.12,1.04,0.13,16.3,0.14,c,0,II,0,0.001,8.632000000000000,-4.377222222220000
90863,1409,777,0.001,182.97,36.99,50,0.88,0.12,0.84,0.13,16.3,0.15,c,0,I,0,0.001,8.661333333330000,39.001944444400000
90864,1410,778,0.001,203.76,33.03,7,0.73,0.10,0.57,0.11,17.1,0.15,c,1,III,1,0.001,8.666666666670000,21.558055555600000
90865,1414,779,0.001,159.76,37.23,167,0.86,0.09,0.90,0.10,16.8,0.31,cd,0,III,1,0.001,8.687194444440000,57.470555555600000
90866,1418,781,0.001,159.52,37.27,3,0.72,0.09,0.71,0.10,17.1,0.37,d,0,IV,2,"Sp. galaxy 1.2 at 4.0 S",8.694944444440000,57.651388888900000
90867,1415,782,0.001,179.30,37.59,27,0.74,0.09,0.73,0.10,16.8,0.10,cd,0,II,1,0.001,8.687527777780000,41.971388888900000
90868,1423,787,0.001,228.31,23.80,144,0.78,0.08,0.65,0.07,17.1,0.13,d,0,III,0,0.001,8.726611111110000,-1.828611111110000
90869,1424,788,0.001,195.32,36.13,143,0.99,0.09,0.81,0.09,16.7,0.23,d,1,II,0,0.001,8.739277777780000,29.102500000000000
90870,1428,790,0.001,224.48,26.52,24,0.86,0.12,0.81,0.12,16.5,0.16,c,0,II,1,0.001,8.767388888890000,2.533333333330000
90871,1432,795,0.001,225.62,26.48,102,0.76,0.08,0.62,0.12,17.2,0.16,c,2,III,3,0.001,8.798666666670000,1.628055555560000
90872,1435,797,0.001,235.08,21.45,175,1.39,0.12,1.33,0.13,16.1,0.17,c,0,II,0,"Star projected",8.816666666670000,-8.366944444440000
90873,1438,798,0.001,188.18,38.49,32,0.66,0.08,0.64,0.09,17.2,0.15,cd,0,III,1,Distant,8.833333333330000,35.133888888900000
90874,1441,799,0.001,188.18,38.62,93,0.80,0.11,0.84,0.11,16.6,0.15,cd,0,II,1,"One blue condensation",8.843861111110000,35.155277777800000
90875,1444,802,0.001,232.70,23.80,59,1.04,0.12,0.96,0.15,16.4,0.07,bc,0,II,0,0.001,8.867527777780000,-5.241944444440000
90876,1445,803,0.001,232.40,24.00,54,0.66,0.09,0.67,0.10,16.9,0.07,c,0,II,0,0.001,8.869333333330000,-4.905833333330000
90877,1448,804,0.001,169.87,39.88,108,0.85,0.10,0.77,0.11,16.7,0.10,c,0,II,1,0.001,8.897666666670000,49.346111111100000
90878,1454,805,0.001,153.62,38.04,61,0.66,0.09,0.59,0.10,17.1,0.39,dm,1,III,0,0.001,8.910805555560000,62.099166666700000
90879,1447,807,0.001,195.91,38.15,8,0.96,0.11,0.93,0.11,16.6,0.12,c,1,III,5,0.001,8.897388888890000,29.111388888900000
90880,1455,809,0.001,158.28,38.88,31,0.66,0.08,0.71,0.09,17.0,0.20,cd,0,II,0,0.001,8.914388888890000,58.355555555600000
90881,1452,811,0.001,182.03,39.94,169,0.94,0.10,0.96,0.11,16.5,0.10,d,0,II,0,0.001,8.909333333330000,40.026944444400000
90882,1450,812,0.001,216.74,32.26,59,0.78,0.11,0.83,0.12,16.6,0.16,c,0,II,0,0.001,8.902861111110000,11.149166666700000
90883,1458,815,0.001,206.60,36.15,10,0.97,0.10,0.97,0.11,16.7,0.11,c,0,III,2,0.001,8.931333333330000,20.376111111100000
90884,1461,819,0.001,193.68,39.60,125,0.87,0.08,0.80,0.09,16.9,0.10,cd,1,II,3,0.001,8.979000000000000,31.111388888900000
90885,1464,821,0.001,233.43,25.50,179,0.90,0.10,0.67,0.09,16.9,0.09,dm,0,III,0,"Blue.Two-layers.Sp.3.0 at 5.0W",8.987333333330000,-4.880277777780000
90887,1474,828,0.001,210.51,36.82,48,1.01,0.10,0.92,0.12,16.6,0.10,bc,1,II,4,0.001,9.052333333330000,17.660000000000000
90889,1478,832,0.001,163.54,41.08,38,0.78,0.11,0.90,0.11,16.8,0.07,c,0,IV,2,0.001,9.086388888890000,53.991388888900000
90890,1481,835,0.001,216.16,35.61,166,0.93,0.10,0.91,0.12,16.7,0.12,c,0,III,1,"Compan. at 0.8 S",9.096666666670000,12.985833333300000
90891,1484,836,0.001,198.60,40.49,111,0.85,0.11,0.88,0.12,16.6,0.12,c,0,II,1,0.001,9.106472222220000,27.625555555600000
90892,1488,837,0.001,152.73,39.41,20,0.88,0.11,0.45,0.10,17.1,0.23,cd,0,III,0,Two-layers,9.125722222220000,62.397500000000000
90893,1482,838,0.001,248.29,17.43,3,0.72,0.10,0.67,0.09,16.8,0.66,cd,1,II,1,"Spiral 0.6 at 1.0 W",9.102000000000000,-20.785000000000000
90894,1489,841,0.001,185.40,42.31,58,0.85,0.11,0.80,0.11,16.6,0.08,c,0,II,0,"Companion at 1.5 NE",9.127277777780000,37.672222222200000
90895,1490,842,0.001,197.38,40.99,30,1.10,0.10,1.08,0.10,16.4,0.11,d,0,II,1,0.001,9.127472222220000,28.635555555600000
90896,1493,843,0.001,166.50,41.93,85,0.78,0.10,0.69,0.10,16.8,0.06,cd,0,II,2,"Sp. gal. 1.2 at 2.0 SW",9.139333333330000,51.671944444400000
90897,1494,845,0.001,184.02,42.54,124,0.74,0.09,0.74,0.10,17.0,0.09,cd,0,III,3,"Flat sp.0.5 at 0.9NE",9.141611111110000,38.706111111100000
90898,1495,846,0.001,219.72,35.13,144,0.78,0.11,0.67,0.11,16.9,0.19,c,1,III,0,0.001,9.151138888890000,10.155000000000000
90899,1501,849,0.001,168.33,42.56,131,0.66,0.09,0.67,0.10,16.9,0.07,d,0,II,1,0.001,9.185388888890000,50.236666666700000
90900,1506,854,0.001,211.15,39.02,145,0.64,0.09,0.76,0.11,16.9,0.14,c,2,II,2,0.001,9.209055555560000,17.978333333300000
90901,1507,856,0.001,228.61,32.11,122,0.73,0.09,0.67,0.10,17.1,0.12,cd,0,III,1,0.001,9.210666666670000,2.216944444440000
90902,1509,858,0.001,184.77,43.55,176,0.78,0.11,0.66,0.11,16.7,0.08,c,0,II,3,"Compan. at 1.2S",9.229333333330000,38.215000000000000
90903,1510,859,0.001,196.30,42.60,44,0.66,0.08,0.63,0.08,17.0,0.10,d,0,II,0,0.001,9.235611111110000,29.742222222200000
90904,1511,860,0.001,194.19,42.95,2,0.78,0.08,0.69,0.09,17.0,0.08,d,0,II,1,0.001,9.241194444440000,31.332777777800000
90905,1517,862,0.001,149.75,39.62,139,0.83,0.11,0.85,0.11,16.7,0.40,cd,1,III,0,0.001,9.268527777780000,64.501111111100000
90906,1514,864,0.001,236.36,28.63,85,1.01,0.10,1.01,0.11,16.5,0.15,cd,1,II,2,"Spiral 0.9 at 4.0 SW",9.258666666670000,-5.286388888890000
90907,1521,865,0.001,143.36,37.64,162,0.85,0.11,0.85,0.11,16.5,0.44,cd,1,II,3,"Nearest compan.0.6 at 1.8 N",9.296666666670000,69.868888888900000
90908,1520,868,0.001,237.61,28.30,92,0.72,0.10,0.81,0.11,16.7,0.13,cd,1,II,0,0.001,9.282944444440000,-6.375833333330000
90909,1525,872,0.001,194.72,43.88,31,0.85,0.10,0.88,0.11,16.6,0.07,c,0,II,0,0.001,9.318000000000000,31.103888888900000
90910,1531,875,0.001,183.41,44.89,135,0.73,0.10,0.77,0.10,16.7,0.07,d,0,II,3,0.001,9.341472222220000,39.232777777800000
90911,1532,878,0.001,235.81,30.58,72,0.85,0.10,0.81,0.10,16.7,0.15,m,2,III,0,"Blue. Knotty",9.347333333330000,-3.783055555560000
90912,1541,882,0.001,184.48,45.37,77,0.73,0.10,0.73,0.10,16.8,0.07,cd,0,II,0,0.001,9.383333333330000,38.493055555600000
90913,1542,883,0.001,206.29,42.88,88,1.04,0.11,1.04,0.15,16.4,0.16,bc,0,II,3,"In group",9.385333333330000,22.691944444400000
90914,1540,884,0.001,239.66,28.79,169,0.95,0.11,0.99,0.15,16.6,0.17,bc,0,III,1,"Sharp red nucleus",9.380666666670000,-7.540555555560000
90915,1547,886,0.001,184.10,45.52,72,0.67,0.08,0.56,0.09,17.1,0.06,cd,0,II,0,0.001,9.395805555560000,38.756666666700000
90916,1550,887,0.001,204.35,43.72,8,0.63,0.09,0.54,0.09,17.2,0.14,c,0,III,0,"Very distant",9.416000000000000,24.276111111100000
90917,1551,889,0.001,245.04,25.71,2,0.99,0.09,0.86,0.10,16.7,0.21,cd,1,II,1,0.001,9.416055555560000,-13.205000000000000
90918,1558,894,0.001,187.33,46.29,38,0.78,0.09,0.72,0.09,17.0,0.05,cd,1,III,1,0.001,9.466666666670000,36.538611111100000
90919,1557,896,0.001,241.17,29.35,120,0.63,0.09,0.63,0.10,17.0,0.18,c,0,II,1,0.001,9.464666666670000,-8.251388888890000
90920,1564,897,0.001,161.56,44.33,8,0.75,0.10,0.72,0.11,17.0,0.12,bc,0,III,0,"Red nucleus",9.485722222220000,54.683611111100000
90921,1562,898,0.001,245.15,26.86,158,1.09,0.10,0.99,0.11,16.5,0.21,cd,0,II,1,"Diffuse compan.0.4 at 1.2 W",9.481333333330000,-12.550000000000000
90922,1565,899,0.001,237.36,32.50,88,0.87,0.12,0.76,0.13,16.5,0.17,cd,2,II,0,Wavy,9.503055555560000,-3.753611111110000
90923,1570,901,0.001,220.43,41.11,170,0.76,0.09,0.76,0.10,16.9,0.09,dm,1,III,0,0.001,9.533527777780000,12.261666666700000
90924,1573,905,0.001,185.64,47.28,170,0.75,0.08,0.68,0.08,17.1,0.05,cd,0,III,0,Distant,9.546333333330000,37.723055555600000
90925,1571,906,0.001,239.82,31.64,178,0.75,0.08,0.75,0.08,17.1,0.15,d,0,III,3,0.001,9.539527777780000,-5.936666666670000
90926,1575,907,0.001,188.03,47.32,56,0.90,0.12,0.75,0.13,16.6,0.06,bc,0,II,1,"2nd component at 1.5 W",9.553666666670000,36.105833333300000
90927,1574,908,0.001,248.87,25.36,76,1.12,0.16,1.01,0.13,16.2,0.30,c,1,III,0,0.001,9.551388888890000,-16.061944444400000
90928,1580,909,0.001,155.02,43.58,72,0.87,0.10,0.85,0.11,16.6,0.09,cd,1,II,1,0.001,9.586000000000000,59.378333333300000
90929,1581,910,0.001,160.87,45.17,158,0.64,0.07,0.57,0.07,17.4,0.12,cd,1,III,2,"Spiral 0.8 at 1.4 NW",9.594666666670000,54.906944444400000
90930,1582,912,0.001,207.12,45.76,164,0.90,0.09,0.87,0.08,16.8,0.13,d,1,III,1,0.001,9.597277777780000,22.924166666700000
90931,1587,913,0.001,216.98,43.46,175,1.10,0.10,1.06,0.11,16.6,0.16,d,0,III,0,0.001,9.608666666670000,15.548888888900000
90932,1590,915,0.001,187.89,48.18,158,0.66,0.09,0.65,0.10,17.1,0.05,cd,0,III,2,"Resembling compan.at 2.5SW",9.623944444440000,36.229444444400000
90933,1591,916,0.001,159.68,45.25,34,0.69,0.09,0.73,0.10,17.0,0.09,c,0,III,0,0.001,9.635611111110000,55.680277777800000
90934,1597,920,0.001,189.95,48.70,15,0.78,0.07,0.75,0.07,17.0,0.05,d,0,II,2,"Companion at 0.8 SW",9.671527777780000,34.881944444400000
90935,1598,921,0.001,191.57,48.65,113,0.77,0.10,0.65,0.10,16.8,0.06,c,0,II,0,0.001,9.672138888890000,33.810555555600000
90936,1599,922,0.001,171.37,47.88,89,0.92,0.10,0.96,0.10,16.5,0.05,cd,0,II,0,0.001,9.680000000000000,47.243055555600000
90937,1612,929,0.001,143.61,40.41,1,0.74,0.09,0.74,0.10,16.8,0.41,cd,0,II,1,0.001,9.734000000000000,68.370000000000000
90938,1610,932,0.001,219.05,44.72,152,0.95,0.10,0.77,0.12,16.8,0.13,cd,1,III,1,0.001,9.729333333330000,14.680000000000000
90939,1614,933,0.001,240.57,34.93,78,0.93,0.10,0.90,0.11,16.6,0.18,cd,0,II,1,"Red star or compact gal.proj.",9.740000000000000,-4.434722222220000
90940,1618,936,0.001,240.75,35.02,147,0.93,0.10,0.87,0.11,16.6,0.18,c,0,II,1,"Sp. 0.5 at 0.7 N adjoins",9.750861111110000,-4.496666666670000
90941,1620,937,0.001,249.16,29.11,139,1.79,0.10,1.51,0.09,16.3,0.18,d,1,III,0,"Fine knots",9.756138888890000,-13.748055555600000
90942,1621,938,0.001,249.75,28.71,40,1.34,0.12,0.78,0.11,16.7,0.25,cd,0,IV,2,"Interact.gals. pair at 4.0NE",9.759666666670000,-14.403055555600000
90943,1625,940,0.001,243.09,34.06,144,1.01,0.09,0.80,0.09,16.7,0.20,dm,2,II,0,"Blue. Knotty",9.780611111110000,-6.605000000000000
90944,1630,943,0.001,206.78,48.62,150,1.01,0.09,1.01,0.09,16.6,0.14,d,1,II,1,0.001,9.793194444440000,23.906388888900000
90945,1632,946,0.001,244.94,33.06,61,0.85,0.11,0.91,0.12,16.5,0.12,c,0,II,0,0.001,9.795611111110000,-8.432222222220000
90946,1635,947,0.001,234.68,39.46,47,0.81,0.11,0.77,0.13,16.6,0.54,c,0,II,1,0.001,9.800277777780000,2.019722222220000
90947,1636,948,0.001,204.73,49.13,31,1.01,0.09,0.94,0.10,16.8,0.10,c,0,III,1,Distant,9.805722222220000,25.334166666700000
90948,1634,949,0.001,250.65,28.75,142,0.69,0.08,0.65,0.09,17.2,0.27,cd,0,III,0,0.001,9.799333333330000,-14.953888888900000
90949,1639,950,0.001,192.94,50.39,99,0.99,0.11,0.82,0.10,16.5,0.06,cd,0,II,0,0.001,9.815805555560000,33.043333333300000
90950,1638,951,0.001,240.70,36.26,38,0.96,0.11,0.83,0.11,16.5,0.14,m,2,II,1,"Blue. Knotty",9.814666666670000,-3.701388888890000
90951,1641,953,0.001,231.16,41.78,82,0.92,0.11,0.88,0.11,16.5,0.11,dm,2,II,0,0.001,9.832666666670000,5.520000000000000
90952,1643,955,0.001,185.19,50.87,83,0.94,0.13,0.87,0.12,16.4,0.06,c,0,II,0,0.001,9.849666666670000,37.966111111100000
90953,1644,956,0.001,242.37,35.99,63,0.81,0.10,0.81,0.10,16.7,0.16,cd,1,II,3,0.001,9.856472222220000,-4.933611111110000
90955,1647,958,0.001,177.40,50.72,10,0.81,0.10,0.73,0.10,16.7,0.05,d,1,II,3,"Common neighbours w. PGC28495",9.878666666670000,42.878055555600000
90956,1648,959,0.001,174.68,50.42,176,1.15,0.08,1.05,0.10,16.8,0.03,d,1,III,0,"Knotty. Fine red nucleus",9.879333333330000,44.628055555600000
90957,1649,960,0.001,160.38,47.73,45,0.63,0.08,0.57,0.09,17.2,0.04,c,2,II,0,0.001,9.885333333330000,54.361944444400000
90958,1653,963,0.001,213.47,48.71,122,0.62,0.08,0.57,0.09,17.3,0.12,d,0,III,1,0.001,9.890666666670000,19.696944444400000
90959,1650,964,0.001,244.20,35.35,144,1.47,0.10,1.34,0.11,16.4,0.29,d,1,III,1,"Star proj.Diff.compan.at 1.2S",9.886666666670000,-6.481666666670000
90960,1661,970,0.001,205.35,50.52,22,0.85,0.09,0.85,0.10,16.9,0.13,cd,1,III,0,Distant,9.912138888890000,25.250833333300000
90961,1668,971,0.001,158.54,47.67,182,0.66,0.09,0.67,0.11,17.1,0.03,bc,0,III,1,"Contrast red nucleus",9.934277777780000,55.526111111100000
90962,1662,972,0.001,252.94,29.22,144,1.06,0.11,1.06,0.13,16.4,0.21,bc,0,II,0,0.001,9.918666666670000,-16.068888888900000
90963,1663,973,0.001,252.77,29.42,123,0.67,0.07,0.63,0.08,17.3,0.23,d,0,III,1,0.001,9.921388888890000,-15.821111111100000
90964,1667,974,0.001,238.06,40.04,30,0.70,0.10,0.73,0.10,16.9,0.12,c,1,III,2,"Compact compan. at 0.7 SW",9.932138888890000,0.229722222222000
90965,1666,975,0.001,251.82,30.43,23,0.71,0.10,0.93,0.10,16.6,0.29,cd,0,II,3,0.001,9.931333333330000,-14.528888888900000
90966,1669,977,0.001,238.22,40.13,6,0.70,0.10,0.69,0.13,16.9,0.13,b,0,II,4,0.001,9.941333333330000,0.183888888889000
90967,1680,981,0.001,137.53,38.64,41,0.92,0.10,0.88,0.10,16.8,0.10,c,1,III,1,0.001,9.990611111110000,73.226666666700000
90968,1677,983,0.001,237.99,40.99,82,0.92,0.10,0.82,0.10,16.6,0.11,d,0,II,0,0.001,9.980666666670000,0.836388888889000
90969,1693,984,0.001,133.82,36.33,71,0.65,0.08,0.62,0.09,17.1,0.10,d,1,II,2,0.001,10.028722222200000,76.958611111100000
90970,1683,985,0.001,191.29,52.76,26,0.78,0.11,0.72,0.10,16.6,0.04,d,0,II,0,0.001,10.001805555600000,34.171388888900000
90971,1685,986,0.001,189.66,52.85,67,1.01,0.10,0.90,0.10,16.7,0.05,cd,1,III,1,0.001,10.008666666700000,35.158055555600000
90972,1687,987,0.001,189.12,52.90,59,1.19,0.10,1.12,0.11,16.4,0.04,cd,0,II,1,0.001,10.013333333300000,35.478888888900000
90973,1696,988,0.001,147.43,44.33,169,0.93,0.09,0.99,0.10,16.6,0.12,cd,1,II,0,0.001,10.031805555600000,63.892777777800000
90974,1686,989,0.001,244.62,37.53,116,0.72,0.09,0.73,0.11,17.0,0.14,c,0,III,0,0.001,10.012666666700000,-5.333333333330000
90975,1688,991,0.001,238.37,41.50,143,0.67,0.08,0.48,0.06,17.4,0.09,d,1,III,3,"Irr.on O pr.Regular Sc on E pr.",10.019333333300000,0.908333333333000
90976,1689,994,0.001,246.72,36.27,9,0.97,0.10,1.00,0.11,16.6,0.18,d,0,III,1,0.001,10.023333333300000,-7.423611111110000
90977,1699,995,0.001,176.81,52.45,147,0.76,0.08,0.78,0.09,17.1,0.04,cd,0,III,0,0.001,10.040000000000000,42.940277777800000
90978,1698,997,0.001,236.22,42.96,152,0.76,0.09,0.64,0.09,17.0,0.09,dm,1,III,1,"Pair's component at 1.5 W",10.036666666700000,3.053333333330000
90979,1719,999,0.001,132.91,35.92,31,0.93,0.11,0.78,0.11,16.7,0.07,dm,1,III,2,Bluish,10.089194444400000,77.779166666700000
90980,1704,1001,0.001,228.54,46.80,157,0.65,0.06,0.58,0.09,17.5,0.15,cd,1,III,1,0.001,10.058722222200000,9.701111111110000
90981,1708,1003,0.001,226.62,47.63,12,1.06,0.12,0.87,0.13,16.6,0.16,bc,1,III,3,0.001,10.065527777800000,11.241944444400000
90982,1715,1009,0.001,246.63,37.55,90,1.23,0.13,1.27,0.15,16.1,0.15,cd,0,II,4,"In cluster",10.084000000000000,-6.526388888890000
90983,1717,1010,0.001,241.02,41.23,134,0.95,0.10,0.76,0.13,16.9,0.21,bc,1,III,1,0.001,10.085861111100000,-0.835555555556000
90984,1718,1011,0.001,251.86,33.58,38,0.68,0.09,0.67,0.09,17.1,0.23,cd,1,III,0,0.001,10.086333333300000,-12.342777777800000
90985,1720,1012,0.001,241.82,40.82,149,0.78,0.11,0.84,0.19,16.6,0.27,bc,1,II,0,0.001,10.089333333300000,-1.564722222220000
90986,1721,1013,0.001,242.74,40.26,70,0.81,0.11,0.81,0.11,16.6,0.21,c,1,II,0,Knotty,10.090000000000000,-2.454722222220000
90987,1724,1015,0.001,233.49,45.52,36,0.92,0.11,0.96,0.16,16.5,0.08,c,0,II,1,0.001,10.105138888900000,6.107500000000000
90988,1730,1019,0.001,216.31,51.81,148,0.67,0.09,0.67,0.11,17.1,0.11,cd,0,III,1,0.001,10.140055555600000,19.023055555600000
90989,1728,1020,0.001,253.44,33.30,18,0.96,0.12,1.09,0.13,16.5,0.28,bc,0,III,0,"Sharp nucleus",10.137194444400000,-13.461111111100000
90990,1735,1021,0.001,138.21,40.12,135,0.88,0.10,0.91,0.11,16.6,0.23,cd,1,II,0,0.001,10.166944444400000,71.872500000000000
90991,1733,1022,0.001,161.90,50.80,32,0.78,0.10,0.69,0.10,16.9,0.02,c,0,III,0,0.001,10.158277777800000,52.251944444400000
90992,1732,1023,0.001,244.32,40.47,108,0.90,0.11,0.81,0.13,16.6,0.14,bc,1,II,0,0.001,10.152055555600000,-3.245833333330000
90993,1736,1024,0.001,202.67,54.34,48,0.95,0.10,0.78,0.11,16.7,0.13,cd,0,II,0,0.001,10.169250000000000,27.575555555600000
90994,1738,1026,0.001,192.85,54.96,164,0.92,0.10,0.94,0.10,16.6,0.07,cd,0,II,1,0.001,10.179277777800000,33.281666666700000
90995,1740,1027,0.001,248.19,38.46,26,0.68,0.09,0.72,0.09,16.9,0.13,d,1,II,2,"Interact.w.pec.sp.0.7 at 0.8SE?",10.184666666700000,-6.813611111110000
90996,1741,1029,0.001,245.55,40.39,20,0.65,0.09,0.68,0.10,17.1,0.14,c,1,III,1,0.001,10.188861111100000,-4.012500000000000
90997,1750,1032,0.001,156.71,49.72,3,0.86,0.11,0.86,0.11,16.5,0.02,cd,0,II,0,0.001,10.215333333300000,55.701944444400000
90998,1749,1033,0.001,169.11,53.13,35,0.77,0.08,0.58,0.10,17.2,0.03,cd,0,III,0,"Compact companion at 1.7 N",10.214611111100000,47.270277777800000
90999,1751,1034,0.001,175.41,54.24,85,0.69,0.07,0.65,0.08,17.3,0.04,cd,1,III,1,0.001,10.216333333300000,43.378888888900000
91000,1755,1039,0.001,249.91,38.05,82,0.88,0.12,0.81,0.11,16.7,0.19,c,0,III,3,0.001,10.227194444400000,-8.075277777780000
91001,1759,1041,0.001,236.35,46.60,87,0.82,0.11,0.76,0.15,16.8,0.13,bc,0,III,0,0.001,10.239388888900000,5.069166666670000
91002,1760,1042,0.001,235.05,47.58,16,0.81,0.09,0.68,0.10,16.8,0.10,dm,2,II,4,0.001,10.260000000000000,6.347500000000000
91003,1762,1044,0.001,245.78,41.87,60,0.60,0.07,0.56,0.09,17.3,0.14,cd,1,II,2,0.001,10.270611111100000,-3.161666666670000
91004,1764,1046,0.001,223.34,52.31,119,0.71,0.09,0.53,0.10,17.2,0.17,cd,1,III,0,0.001,10.287333333300000,15.217500000000000
91005,1767,1048,0.001,216.88,54.05,38,0.68,0.09,0.59,0.10,17.0,0.12,cd,0,II,0,0.001,10.297333333300000,19.463055555600000
91006,1768,1049,0.001,222.20,53.03,112,0.81,0.10,0.87,0.11,16.8,0.14,d,0,III,3,"Brighter gal.at 2.0 E",10.313333333300000,16.148888888900000
91007,1770,1052,0.001,227.23,51.78,104,1.23,0.12,0.95,0.16,16.4,0.26,bc,1,II,1,0.001,10.328000000000000,12.843055555600000
91008,1772,1053,0.001,257.39,34.03,50,0.78,0.09,0.56,0.09,17.3,0.37,d,1,IV,1,"Diffuse neighbour 0.3 at 1.2N",10.338000000000000,-15.153888888900000
91009,1775,1054,0.001,197.49,57.03,155,0.77,0.10,0.56,0.10,17.1,0.11,cd,0,III,0,0.001,10.348944444400000,30.762222222200000
91010,1785,1059,0.001,167.56,54.83,65,0.83,0.08,0.91,0.09,16.9,0.03,d,1,III,1,0.001,10.403333333300000,47.523888888900000
91011,1788,1060,0.001,153.52,50.42,128,0.83,0.11,0.80,0.12,16.8,0.05,c,0,III,4,0.001,10.414611111100000,57.098333333300000
